name, foodType, Instructions, numberOfServings,ingredients
Cauliflower Curry,veg,Low-Carb Vegetarian,4,Cauliflower:Cream:Coconut:Pepper
Mushroom Alfredo Cauliflower Gnocchi,veg,This vegetarian recipe comes together in minutes thanks to an ingredient list that’s only 3 items long,6,Mushroom:Baby Spinach:Sas:Gnocchi
Wild Mushroom Risotto,veg,30 Minute Vegetarian Meals,10,wild mushrooms:ginger:pepper:herbs
Baked Gnocchi with Broccoli,veg,Cheesy gooey hot and bubbly this one pan baked gnocchi with broccoli,10,creamy sauce:gnocchi:broccoli
Creamy Zucchini Pasta,veg,Creamy zucchini pasta is our latest favorite way to use up our annual backyard squash deluge,6,pasta:Spinach:onion:pepper:olive oil
Coconut Curry Ramen,veg,Healthy and nourishing,10,ginger:egg:beans:red sas:curd
Crockpot Vegetable Lasagna,veg,Fresh basil tons of veggies and three cheeses brighten up jarred pasta sauce,4,Chees:Spinach:egg:cream:Pepper
Grilled Chicken Escalope with Fresh Salsa,nonveg,Grilled to perfection and served with a fresh salsa of grapes,6,chicken:lemon:spring onion:herbs
Mutton Korma,nonveg,A flavourful mutton curry where the meat is stirred with curd garlic-ginger paste,10,Mutton:cardamom:cinnamon sticks


